issuekey,project,storypoint,log_storypoint
TISTUD-6,appceleratorstudio,1,0.6931471805599453
TISTUD-9,appceleratorstudio,1,0.6931471805599453
TISTUD-11,appceleratorstudio,1,0.6931471805599453
TISTUD-13,appceleratorstudio,1,0.6931471805599453
TISTUD-16,appceleratorstudio,1,0.6931471805599453
TISTUD-21,appceleratorstudio,1,0.6931471805599453
TISTUD-22,appceleratorstudio,1,0.6931471805599453
TISTUD-23,appceleratorstudio,1,0.6931471805599453
TISTUD-24,appceleratorstudio,1,0.6931471805599453
TISTUD-25,appceleratorstudio,1,0.6931471805599453
TISTUD-28,appceleratorstudio,1,0.6931471805599453
TISTUD-29,appceleratorstudio,1,0.6931471805599453
TISTUD-30,appceleratorstudio,1,0.6931471805599453
TISTUD-31,appceleratorstudio,1,0.6931471805599453
TISTUD-32,appceleratorstudio,1,0.6931471805599453
TISTUD-36,appceleratorstudio,1,0.6931471805599453
TISTUD-37,appceleratorstudio,1,0.6931471805599453
TISTUD-40,appceleratorstudio,1,0.6931471805599453
TISTUD-44,appceleratorstudio,1,0.6931471805599453
TISTUD-54,appceleratorstudio,1,0.6931471805599453
TISTUD-62,appceleratorstudio,1,0.6931471805599453
TISTUD-64,appceleratorstudio,1,0.6931471805599453
TISTUD-65,appceleratorstudio,1,0.6931471805599453
TISTUD-66,appceleratorstudio,1,0.6931471805599453
TISTUD-67,appceleratorstudio,1,0.6931471805599453
TISTUD-68,appceleratorstudio,1,0.6931471805599453
TISTUD-69,appceleratorstudio,1,0.6931471805599453
TISTUD-71,appceleratorstudio,1,0.6931471805599453
TISTUD-72,appceleratorstudio,1,0.6931471805599453
TISTUD-73,appceleratorstudio,1,0.6931471805599453
TISTUD-85,appceleratorstudio,1,0.6931471805599453
TISTUD-86,appceleratorstudio,1,0.6931471805599453
TISTUD-87,appceleratorstudio,1,0.6931471805599453
TISTUD-101,appceleratorstudio,1,0.6931471805599453
TISTUD-106,appceleratorstudio,1,0.6931471805599453
TISTUD-112,appceleratorstudio,1,0.6931471805599453
TISTUD-115,appceleratorstudio,1,0.6931471805599453
TISTUD-121,appceleratorstudio,13,2.6390573296152584
TISTUD-123,appceleratorstudio,1,0.6931471805599453
TISTUD-124,appceleratorstudio,1,0.6931471805599453
TISTUD-125,appceleratorstudio,1,0.6931471805599453
TISTUD-127,appceleratorstudio,1,0.6931471805599453
TISTUD-130,appceleratorstudio,1,0.6931471805599453
TISTUD-131,appceleratorstudio,1,0.6931471805599453
TISTUD-136,appceleratorstudio,1,0.6931471805599453
TISTUD-138,appceleratorstudio,1,0.6931471805599453
TISTUD-139,appceleratorstudio,1,0.6931471805599453
TISTUD-140,appceleratorstudio,1,0.6931471805599453
TISTUD-141,appceleratorstudio,1,0.6931471805599453
TISTUD-143,appceleratorstudio,1,0.6931471805599453
TISTUD-144,appceleratorstudio,1,0.6931471805599453
TISTUD-166,appceleratorstudio,1,0.6931471805599453
TISTUD-167,appceleratorstudio,1,0.6931471805599453
TISTUD-174,appceleratorstudio,1,0.6931471805599453
TISTUD-176,appceleratorstudio,8,2.1972245773362196
TISTUD-178,appceleratorstudio,1,0.6931471805599453
TISTUD-184,appceleratorstudio,1,0.6931471805599453
TISTUD-195,appceleratorstudio,1,0.6931471805599453
TISTUD-200,appceleratorstudio,20,3.044522437723423
TISTUD-201,appceleratorstudio,1,0.6931471805599453
TISTUD-204,appceleratorstudio,1,0.6931471805599453
TISTUD-209,appceleratorstudio,1,0.6931471805599453
TISTUD-212,appceleratorstudio,1,0.6931471805599453
TISTUD-213,appceleratorstudio,1,0.6931471805599453
TISTUD-215,appceleratorstudio,1,0.6931471805599453
TISTUD-216,appceleratorstudio,1,0.6931471805599453
TISTUD-232,appceleratorstudio,13,2.6390573296152584
TISTUD-234,appceleratorstudio,1,0.6931471805599453
TISTUD-253,appceleratorstudio,1,0.6931471805599453
TISTUD-255,appceleratorstudio,1,0.6931471805599453
TISTUD-260,appceleratorstudio,1,0.6931471805599453
TISTUD-267,appceleratorstudio,1,0.6931471805599453
TISTUD-268,appceleratorstudio,1,0.6931471805599453
TISTUD-273,appceleratorstudio,8,2.1972245773362196
TISTUD-280,appceleratorstudio,1,0.6931471805599453
TISTUD-285,appceleratorstudio,1,0.6931471805599453
TISTUD-288,appceleratorstudio,1,0.6931471805599453
TISTUD-297,appceleratorstudio,1,0.6931471805599453
TISTUD-298,appceleratorstudio,1,0.6931471805599453
TISTUD-300,appceleratorstudio,1,0.6931471805599453
TISTUD-302,appceleratorstudio,1,0.6931471805599453
TISTUD-310,appceleratorstudio,1,0.6931471805599453
TISTUD-317,appceleratorstudio,1,0.6931471805599453
TISTUD-318,appceleratorstudio,1,0.6931471805599453
TISTUD-319,appceleratorstudio,1,0.6931471805599453
TISTUD-320,appceleratorstudio,1,0.6931471805599453
TISTUD-321,appceleratorstudio,1,0.6931471805599453
TISTUD-322,appceleratorstudio,1,0.6931471805599453
TISTUD-323,appceleratorstudio,1,0.6931471805599453
TISTUD-324,appceleratorstudio,1,0.6931471805599453
TISTUD-325,appceleratorstudio,1,0.6931471805599453
TISTUD-327,appceleratorstudio,1,0.6931471805599453
TISTUD-335,appceleratorstudio,1,0.6931471805599453
TISTUD-336,appceleratorstudio,8,2.1972245773362196
TISTUD-339,appceleratorstudio,1,0.6931471805599453
TISTUD-346,appceleratorstudio,1,0.6931471805599453
TISTUD-348,appceleratorstudio,1,0.6931471805599453
TISTUD-355,appceleratorstudio,5,1.791759469228055
TISTUD-357,appceleratorstudio,5,1.791759469228055
TISTUD-358,appceleratorstudio,1,0.6931471805599453
TISTUD-373,appceleratorstudio,1,0.6931471805599453
TISTUD-380,appceleratorstudio,1,0.6931471805599453
TISTUD-383,appceleratorstudio,8,2.1972245773362196
TISTUD-400,appceleratorstudio,1,0.6931471805599453
TISTUD-406,appceleratorstudio,1,0.6931471805599453
TISTUD-407,appceleratorstudio,1,0.6931471805599453
TISTUD-415,appceleratorstudio,3,1.3862943611198906
TISTUD-421,appceleratorstudio,1,0.6931471805599453
TISTUD-428,appceleratorstudio,1,0.6931471805599453
TISTUD-434,appceleratorstudio,13,2.6390573296152584
TISTUD-448,appceleratorstudio,13,2.6390573296152584
TISTUD-454,appceleratorstudio,1,0.6931471805599453
TISTUD-474,appceleratorstudio,1,0.6931471805599453
TISTUD-475,appceleratorstudio,1,0.6931471805599453
TISTUD-476,appceleratorstudio,1,0.6931471805599453
TISTUD-477,appceleratorstudio,1,0.6931471805599453
TISTUD-478,appceleratorstudio,1,0.6931471805599453
TISTUD-479,appceleratorstudio,1,0.6931471805599453
